full_id,osm_id,osm_type,amenity,name,long,lat
n2311122113,"2311122113",node,school,Dewanjgonj Alia Madrasha,89.763348,25.166851
n2320124389,"2320124389",node,school,Oxford International School,90.370731,23.753887
n2324541705,"2324541705",node,school,Little Jewels School,91.836391,22.362836
n2325601267,"2325601267",node,school,Little Jewels School,91.836820,22.361787
n2332023261,"2332023261",node,school,Mastermind School,91.829890,22.361245
n2334087538,"2334087538",node,school,Rahmania High School,91.831167,22.376353
n2339080784,"2339080784",node,school,Aparna Charan City corporation Girl's High School,91.831977,22.337010
n2339099561,"2339099561",node,school,Maderbari Girl's High School,91.824074,22.329762
n2339103824,"2339103824",node,school,Baitush Sharaf Kamil Madrasha,91.816649,22.336223
n2340245028,"2340245028",node,school,Agrabad T&T Colony Primary School,91.808538,22.327738
n2340294441,"2340294441",node,school,Tigerpass Govt. Primary School,91.814096,22.341760
n2341499276,"2341499276",node,school,East Nasirabad A.Jalil Primary School,91.818044,22.369543
n2345895991,"2345895991",node,school,Ahmodia High School,91.101526,22.832193
n2345936713,"2345936713",node,school,Noakhali Govt Girls High School,91.101913,22.865671
n2352382625,"2352382625",node,school,Shahid Fazlur Haque High School,89.248463,24.006229
n2352385382,"2352385382",node,school,RM Academy High School,89.239360,24.010357
n2365360956,"2365360956",node,school,Rustam Ali Gulandasz High School,90.545952,24.458317
n2389131430,"2389131430",node,school,Munshiganj Girls High School,90.532992,23.547588
n2397244826,"2397244826",node,school,Hajipara Adorsho High School,88.470751,26.023925
n2398439133,"2398439133",node,school,Dhamoirhat Girls School,88.854960,25.150641
n2403845145,"2403845145",node,school,Canadian International School,90.411306,23.803077
n2403845149,"2403845149",node,school,Scholastica,90.411403,23.802821
n2405703389,"2405703389",node,school,সাবেরা সোবহান সরকারি বালিকা উচ্চ বিদ্যালয়,91.110413,23.968972
n2406086339,"2406086339",node,school,Swarnakali High School,89.824692,23.004432
n2406090600,"2406090600",node,school,Binapani Girls' High School,89.831296,23.007745
n2407077350,"2407077350",node,school,Bamundi Government Primary School,88.805450,23.890302
n2407488007,"2407488007",node,school,Adarsha Boys High School,88.835198,23.638775
n2407518052,"2407518052",node,school,Mujibnagar High School,88.603672,23.665049
n2408419466,"2408419466",node,school,BIAM School,90.779363,24.443679
n2408650676,"2408650676",node,school,Kulgaon City Corporation High School,91.819289,22.404145
n2408674333,"2408674333",node,school,Bangladesh Navy School and College,91.780236,22.291171
n2409447172,"2409447172",node,school,Nakla Shahriar Alim Madrasha,90.179187,24.969722
n2409462166,"2409462166",node,school,Jk Pilot High School,90.016111,25.010321
n2409469166,"2409469166",node,school,Sherpur Government Victoria Academ,90.018162,25.021463
n2410020276,"2410020276",node,school,Mokter Hossain High School,90.683885,24.870131
n2412032650,"2412032650",node,school,Patia Adarsha High School,91.980766,22.293623
n2412772678,"2412772678",node,school,Phulpur Primary School,90.364025,24.956526
n2412773522,"2412773522",node,school,Phulpur Girls School,90.363956,24.955867
n2419865108,"2419865108",node,school,সন্তষ জাহ্নবী উচ্চ বিদ্যালয়,89.894537,24.235429
n2424145993,"2424145993",node,school,Governemnt Boys School,89.967236,22.578446
n2425327291,"2425327291",node,school,St. Gregory's High School,90.414190,23.708481
n2426554019,"2426554019",node,school,Asraful Ulum Madrasa,89.820654,23.597543
n2426555109,"2426555109",node,school,Dipshikha School,89.819082,23.600133
n2426686788,"2426686788",node,school,Palong Tulasar Gurudash Govt. High School,90.350765,23.209027
n2428067332,"2428067332",node,school,Kodomtola Primary School,90.659533,23.223503
n2428759410,"2428759410",node,school,88 Number Government Primary School,90.003649,23.860206
n2429202296,"2429202296",node,school,Pangsha George Pilot High School,89.422511,23.788802
n2429203591,"2429203591",node,school,Siddikia Madrasha,89.421508,23.787979
n2429286464,"2429286464",node,school,Janipur Pilot School,89.282246,23.803401
n2430784489,"2430784489",node,school,Primary Training Institute (P.T.I) School,91.826848,22.332829
n2430784490,"2430784490",node,school,City Governments Girls High School,91.827599,22.332343
n2431239843,"2431239843",node,school,Bagat Primary and High School,89.591369,23.527855
n2432372138,"2432372138",node,school,Varomhigh High School,88.784967,25.134576
n2447822367,"2447822367",node,school,Baliakandi High School,89.547047,23.633343
n2452924627,"2452924627",node,school,,90.692301,24.571285
n2454249973,"2454249973",node,school,Nabab Katra Govt. Primary School,90.400780,23.722642
n2456432789,"2456432789",node,school,,89.568889,24.288306
n2456516040,"2456516040",node,school,Chinakhora High School,89.496046,23.961067
n2459272290,"2459272290",node,school,Ispahani Public School & College,91.119319,23.476706
n2459312454,"2459312454",node,school,Suaganj High School,91.238756,23.376542
n2473541673,"2473541673",node,school,Baliati I.C. High School,90.039956,23.992596
n2492201727,"2492201727",node,school,Holy Heart International School & College,90.399309,23.716664
n2492201729,"2492201729",node,school,Holy Heart International School & College,90.399503,23.716685
n2492201731,"2492201731",node,school,Mowlovibazar Govt. Primary School,90.398970,23.716736
n2493387879,"2493387879",node,school,Shaheen School,91.172278,23.462477
n2501238790,"2501238790",node,school,Sthall Primary School,89.814198,24.650762
n2501241852,"2501241852",node,school,Pingna High School,89.809713,24.619076
n2501242054,"2501242054",node,school,Pingna Girls Hihh School,89.810121,24.617213
n2508504137,"2508504137",node,school,Dinajpur Zilla School,88.636911,25.624563
n2508506603,"2508506603",node,school,Dinajpur Municipal High School,88.637871,25.624153
n2509494894,"2509494894",node,school,Katakhali Primary School,88.674463,24.366130
n2509563344,"2509563344",node,school,Comilla Iswar Pathsala High School,91.180592,23.457102
n2510686627,"2510686627",node,school,School of Physics & Applied Math,89.377100,24.860134
n2510768327,"2510768327",node,school,Bogra Mohila Madrasah,89.360692,24.863180
n2510804665,"2510804665",node,school,Sheujgari Primary School,89.365115,24.845079
n2513005148,"2513005148",node,school,IET Govt. Primary School,90.402870,23.719229
n2514658870,"2514658870",node,school,Uttar Kattali Bishwaspara Govt. Primary School,91.769451,22.365913
n2514659010,"2514659010",node,school,Zaman Anwar Institute,91.768931,22.366495
n2517048838,"2517048838",node,school,Sher-E-Bangla High School,90.411655,23.756855
n2521558612,"2521558612",node,school,Jahangirnagar University School and College,90.267454,23.891055
n2529402082,"2529402082",node,school,Eden English School,90.402836,23.717204
n2529403962,"2529403962",node,school,,90.402529,23.716886
n2530818329,"2530818329",node,school,Darut Ta-liz Modrara,90.405525,23.719965
n2530818331,"2530818331",node,school,Polash Academy,90.404957,23.719958
n2569515159,"2569515159",node,school,Scolars Preparatory School and College,91.837513,22.361777
n2569537202,"2569537202",node,school,Little Jewels School,91.836544,22.362050
n2569542049,"2569542049",node,school,Dewdrop Preparatory School,91.836697,22.362462
n2569542851,"2569542851",node,school,Brighton English School and College,91.837327,22.362208
n2571053265,"2571053265",node,school,Chittagong Grammar School,91.834207,22.359784
n2571154127,"2571154127",node,school,Kapash Gola Primary School,91.841504,22.360075
n2571720472,"2571720472",node,school,Chittagong Government Girls' High School,91.814795,22.364657
n2571728366,"2571728366",node,school,Nasirabad Pulic School,91.817122,22.363367
n2571782777,"2571782777",node,school,Police Line High School,91.171459,23.467004
n2572547953,"2572547953",node,school,New Jhawtala Government Primary School,91.807348,22.361627
n2572619077,"2572619077",node,school,Ispahani Adarsha High School,91.777604,22.365079
n2572729512,"2572729512",node,school,140 No ChowkBazar Govt. Primary School,91.195084,23.463453
n2573182763,"2573182763",node,school,Comilla High School,91.184379,23.466134
n2577031006,"2577031006",node,school,Don View KG & High School,91.849562,22.358922
n2577033754,"2577033754",node,school,City Ideal School and College,91.850130,22.359036
n2581026777,"2581026777",node,school,FM International School,91.812723,22.336992
n2581039404,"2581039404",node,school,Ananda Multimedia Computer Training Center,91.812302,22.337263
n2583439339,"2583439339",node,school,Police Line School,91.817457,22.352154
n2586783562,"2586783562",node,school,City Corporation High School,91.834965,22.342564
n2616249197,"2616249197",node,school,Pagla High School,91.445881,24.928215
n2638159693,"2638159693",node,school,Bandarban Government Girls' High School,92.220804,22.197741
n2638160939,"2638160939",node,school,Bandarban Government High School,92.218730,22.197217
n2669382753,"2669382753",node,school,Rani Bilash Moni Govt. Boys' High School,90.424860,23.999412
n2669390307,"2669390307",node,school,Joydevpur Govt. Girls' High School,90.426088,23.997296
n2672011549,"2672011549",node,school,Chandrapur High School,89.293710,26.030580
n2672064339,"2672064339",node,school,Nawdabas Maddrasa,89.303490,26.027533
n2672091900,"2672091900",node,school,,89.290264,26.022162
n2672591269,"2672591269",node,school,Botla Primary School,89.281024,26.032222
n2672603192,"2672603192",node,school,Chaparhat High School,89.265520,26.002077
n2675003552,"2675003552",node,school,Balapara School,89.289152,26.014374
n2675005131,"2675005131",node,school,,89.289068,26.015498
n2675287082,"2675287082",node,school,Shiwal Khawa School,89.311105,25.985166
n2684722790,"2684722790",node,school,Shahid Abdul Hamid Kinder Garten,90.747638,22.596657
n2712496060,"2712496060",node,school,DPS STS School,90.402229,23.868717
n2713479078,"2713479078",node,school,Sultanpur T M High School,90.671770,24.005146
n2713479081,"2713479081",node,school,Sultanpur TM Govt. Primary School,90.671123,24.005118
n2715213686,"2715213686",node,school,BADC High School,90.351531,23.786473
n2796926517,"2796926517",node,school,South Pahartoli Govt. Primary School,91.819378,22.423904
n2797041576,"2797041576",node,school,Taragonj Girls High School,90.193812,25.085142
n2797051384,"2797051384",node,school,Taragonj Pilot High School,90.195811,25.084198
n2797084972,"2797084972",node,school,Nonni High School,90.133842,25.160807
n2798024867,"2798024867",node,school,Talebiya Govt. Primary School,91.802629,22.328249
n2798250881,"2798250881",node,school,Kudalia Govt. Primary School,89.927790,24.267190
n2798285032,"2798285032",node,school,Jamalpur Girls High School,89.943620,24.931443
n2798287626,"2798287626",node,school,Jamalpur Zilla School,89.942972,24.933278
n2800686606,"2800686606",node,school,Purbashinda Primary School,90.050815,24.401708
n2803872772,"2803872772",node,school,Wazir Ali High School,89.177392,23.545291
n2805666418,"2805666418",node,school,Magura Government Girls High School,89.420381,23.491326
n2805694997,"2805694997",node,school,Jessore Zilla School,89.204965,23.160353
n2809012450,"2809012450",node,school,Maijpara High School,89.458010,23.236732
n2809017168,"2809017168",node,school,Garerghat High School,89.440984,23.261368
n2809024908,"2809024908",node,school,Pulum High School,89.437016,23.289865
n2809028222,"2809028222",node,school,Naliya Primary School,89.435685,23.314543
n2809034237,"2809034237",node,school,Bunagati Primary School,89.424600,23.312188
n2813014689,"2813014689",node,school,Ekhlasur Rahman Government Primary School,91.843436,22.367615
n2813434228,"2813434228",node,school,Feni Government Alia Madrasha,91.398109,23.013654
n2813482930,"2813482930",node,school,প্রাথমিক শিক্ষক প্রশিক্ষণ ইনস্টিটিউট,91.400245,23.009962
n2813484143,"2813484143",node,school,Feni Model High School,91.401623,23.007411
n2813487838,"2813487838",node,school,Feni Technical School and College,91.380331,23.027677
n2813695617,"2813695617",node,school,Bagmara High School,91.146010,23.339238
n2813700539,"2813700539",node,school,Lalmai High School,91.146544,23.359073
n2813709843,"2813709843",node,school,Ratanpur Government Primary School,91.152231,23.369978
n2813715605,"2813715605",node,school,Bijoypur Government Primary School,91.158247,23.383348
n2813719611,"2813719611",node,school,Chandpur Janata High School,91.172228,23.403958
n2813728008,"2813728008",node,school,Hadatali DS Dhakhil Madrasha,91.153489,23.432309
n2813742231,"2813742231",node,school,Comilla Public School and College,91.122072,23.478090
n2815320001,"2815320001",node,school,Nimsar High School,91.058723,23.481831
n2815321312,"2815321312",node,school,Korpai Government Primary School,91.036522,23.480407
n2815323922,"2815323922",node,school,Gobindopur High School,91.024833,23.482754
n2815348728,"2815348728",node,school,Chandina Model Pilot High School,91.007599,23.486694
n2815359030,"2815359030",node,school,West Belasor Government Primary School,90.983891,23.494345
n2815583322,"2815583322",node,school,Rainadi Madrasha,90.657001,23.858003
n2817570554,"2817570554",node,school,Muslim Girls School and College,90.396678,24.762256
n2817580772,"2817580772",node,school,Sankipara Primary School,90.393208,24.758118
n2817583798,"2817583798",node,school,Nasirabad School,90.398832,24.756564
n2817586327,"2817586327",node,school,Cantonment Public School and College,90.387203,24.756679
n2817589055,"2817589055",node,school,Mymensingh Zila School,90.399286,24.759597
n2817591958,"2817591958",node,school,Mohila Samity Udoyon School,90.404726,24.764633
n2817593075,"2817593075",node,school,Mukul Niketon High School,90.411505,24.756058
n2817593698,"2817593698",node,school,Holy Family Primary School,90.414537,24.742871
n2817604421,"2817604421",node,school,Vidyamoyee Government Girls High School,90.404844,24.757527
n2818507580,"2818507580",node,school,Mymensingh Medical Quarter Primary School,90.408310,24.730662
n2818508248,"2818508248",node,school,Mohakali High School and College,90.406320,24.757815
n2818661635,"2818661635",node,school,KB High School,90.431505,24.731698
n2818664024,"2818664024",node,school,BAU High School,90.431713,24.729450
n2822446388,"2822446388",node,school,Sarishabari Riaz Uddin Talukder High School,89.831704,24.745844
n2824261855,"2824261855",node,school,Chanpur Dhakhil Madrasha,89.919663,24.594729
n2824271541,"2824271541",node,school,Nagda Shimla High School and College,89.917935,24.613993
n2824283363,"2824283363",node,school,Dhanbari Collegiate School,89.949907,24.682304
n2824779833,"2824779833",node,school,Bogabaid Girls High School,89.926506,24.921088
n2824781713,"2824781713",node,school,Bogabaid Government Primary School,89.921880,24.921701
n2824786273,"2824786273",node,school,Hazrabari Boys Primary School,89.824001,24.924904
n2824786690,"2824786690",node,school,Jonail High School,89.734461,24.898495
n2824789044,"2824789044",node,school,Bania Bari High School,89.761896,24.999829
n2825538569,"2825538569",node,school,Baneswar Girls School and College,88.755699,24.365126
n2825541065,"2825541065",node,school,Banedwar Government Primary School,88.755306,24.363517
n2826633818,"2826633818",node,school,Cantonment Public School and College,91.814933,22.397222
n2826636495,"2826636495",node,school,Cantonment English School and College,91.817528,22.396829
n2826655688,"2826655688",node,school,BCSIR Laboratory High School,91.818642,22.417763
n2828247573,"2828247573",node,school,Charia Board School,91.803247,22.529402
n2828256250,"2828256250",node,school,Katirhat School,91.794744,22.601098
n2828256264,"2828256264",node,school,Forhadabad High School,91.794254,22.615586
n2828261036,"2828261036",node,school,Babunagar Madrasha,91.808564,22.648033
n2828262033,"2828262033",node,school,Fatikchari Coronation High School,91.794584,22.689374
n2828262296,"2828262296",node,school,Haidchakia High School,91.781359,22.706827
n2828278234,"2828278234",node,school,Rani Nahar Debi High School,91.842370,22.849659
n2828278235,"2828278235",node,school,Rajbari Model Government Primary School,91.841670,22.848997
n2828412902,"2828412902",node,school,Natunkuri Cantonment High School,91.986677,23.111903
n2828694060,"2828694060",node,school,Mohalchari Model High School,92.027553,22.934646
n2828694126,"2828694126",node,school,Mohalchari Government Primary School,92.027697,22.932994
n2830455773,"2830455773",node,school,Karnaphuli Paper Mills School and College,92.133864,22.479639
n2830470141,"2830470141",node,school,Al Faruque School,92.216575,22.191208
n2830476296,"2830476296",node,school,Collectorate School Bandarba,92.218541,22.193795
n2831092362,"2831092362",node,school,Lama Girls High School,92.196291,21.776015
n2831099181,"2831099181",node,school,Lama Government High School,92.195843,21.783188
n2831101861,"2831101861",node,school,Malumghat Ideal School,92.078261,21.679839
n2867575826,"2867575826",node,school,আদর্শ মাধ্যমিক বিদ্যালয়,90.062621,22.629092
n2867575828,"2867575828",node,school,কাজী হারুনুর রশিদ রেজিঃ প্রাথমিক বিদ্যালয়,90.062528,22.628824
n2867575829,"2867575829",node,school,মডেল সরকারী প্রাথমিক বিদ্যালয়,90.060539,22.621632
n2867740464,"2867740464",node,school,পূর্ব আমরাজুড়ী প্রাথমিক বিদ্যালয়,90.074230,22.640494
n2867740465,"2867740465",node,school,পূর্ব আমরাজুড়ী মাধ্যমিক বিদ্যালয়,90.074730,22.640360
n2867791004,"2867791004",node,school,মোস্তফা হায়দার একাডেমী,90.074096,22.637969
n2867849773,"2867849773",node,school,কেউন্দিয়া মাধ্যমিক বিদ্যালয়,90.090460,22.633401
n2869303543,"2869303543",node,school,Bhasantek High School,90.394936,23.811121
n2876549360,"2876549360",node,school,Bakshiganj Girls School,89.869866,25.184731
n2876554525,"2876554525",node,school,DA Chilmari Primary School,89.667240,25.558479
n2876557034,"2876557034",node,school,Shariferhat High School,89.659149,25.559942
n2878369447,"2878369447",node,school,Gaibandha Zilla School,89.544574,25.328025
n2878370307,"2878370307",node,school,Islamia High School,89.545963,25.327514
n2878373947,"2878373947",node,school,Gaibandha Model School,89.547604,25.318722
n2879896997,"2879896997",node,school,West Gobindopur Primary School,89.532386,25.320209
n2879909236,"2879909236",node,school,Folkhawa Government Primary School,89.586181,25.475353
n2879917009,"2879917009",node,school,Jhinia MA High School,89.544264,25.531699
n2881691029,"2881691029",node,school,Chatila Madrasha,89.912390,24.592121
n2887175592,"2887175592",node,school,Ratanpur Abdullah High School,90.919790,23.795438
n2887192740,"2887192740",node,school,Uttor Bangora Government Primary School,90.992372,23.795613
n2887195573,"2887195573",node,school,Malai Primary School,90.980659,23.800109
n2887207231,"2887207231",node,school,Choinpur Primary School,90.950642,23.681088
n2892179594,"2892179594",node,,,90.366072,23.824037
n2895200401,"2895200401",node,school,Kamarpara School and College,90.384905,23.891390
n2897134522,"2897134522",node,school,Tangail Cotton Mills High School,90.159180,24.099559
n2915834147,"2915834147",node,school,Madhupur Shahid Smrity Higher Secondary School,90.031088,24.605423
n2990413334,"2990413334",node,school,শের-ই-বাংলা নগর সরকারি বালক উচ্চ বিদ্যালয়,90.379699,23.777445
n2994120341,"2994120341",node,school,Japanese School,90.424552,23.794983
n3012490885,"3012490885",node,school,Advance School for Special Children,90.366497,23.771913
n3048269856,"3048269856",node,school,UCEP-Bangladesh-Chittagong-Ambagam Center,91.807421,22.352180
n3052357268,"3052357268",node,school,"Govt Girls School, Rangpur",89.248117,25.753699
n3059004661,"3059004661",node,,,90.059569,22.623149
n3059004681,"3059004681",node,,,90.060457,22.628881
n3059004688,"3059004688",node,school,,90.058742,22.629509
n3060594136,"3060594136",node,,,90.059460,22.619774
n3060594139,"3060594139",node,,,90.060317,22.623169
n3060594140,"3060594140",node,,,90.060010,22.623284
n3060594141,"3060594141",node,,,90.059710,22.623345
n3064088919,"3064088919",node,school,কুমিয়ান সরকারী প্রাথমিক বিদ্যালয়,90.063801,22.633950
n3064187629,"3064187629",node,school,,90.067844,22.617421
n3070477433,"3070477433",node,school,Inara International School,90.357496,23.756848
n3075674765,"3075674765",node,school,,90.056929,22.626086
n3075909991,"3075909991",node,,,90.059694,22.623263
n3077577406,"3077577406",node,school,,90.059254,22.608945
n3083976452,"3083976452",node,school,কেউন্দিয়া শহীদ স্মৃতি বালিকা উচ্চ বিদ্যালয়,90.091368,22.632742
n3084100544,"3084100544",node,school,,90.058497,22.620311
n3096830441,"3096830441",node,school,,89.305173,26.025064
n3096831736,"3096831736",node,school,,89.313324,26.022279
n3096839295,"3096839295",node,school,,89.288945,26.014091
n3096844044,"3096844044",node,school,,89.291128,26.003092
n3096849991,"3096849991",node,school,,89.268651,26.004433
n3181206622,"3181206622",node,school,,90.413960,22.169748
n3294899861,"3294899861",node,school,BM Laboratory School,90.373430,23.738681
n3296810606,"3296810606",node,school,B.M Laboratory School,90.369573,23.737834
n3296810609,"3296810609",node,school,Ciam School,90.368224,23.737626
n3296810611,"3296810611",node,school,Europa International School,90.369326,23.737929
n3296854036,"3296854036",node,school,Ayesha Academy School,90.370339,23.737807
n3296902383,"3296902383",node,school,Mollick preparatory school / Singing Academy,90.370805,23.740136
n3302056985,"3302056985",node,school,Moneshwar Government Primary School,90.368012,23.739073
n3302082052,"3302082052",node,school,Jabal-E-Noor Accademy,90.357472,23.733533
n3302107665,"3302107665",node,school,Hazi Awal Ideal High School,90.359195,23.731241
n3302111684,"3302111684",node,school,Sufia Zinan International School,90.366756,23.740808
n3302129821,"3302129821",node,school,Bangladesh Pre-Cadet and High School,90.358561,23.731912
n3302157638,"3302157638",node,school,Future Mind Model High School,90.359809,23.731636
n3302211058,"3302211058",node,school,Luminus Kindergarten,90.363621,23.741037
n3302211059,"3302211059",node,school,Mevin International School,90.363716,23.741409
n3310170450,"3310170450",node,school,,89.562116,22.803811
n3313524399,"3313524399",node,school,Batbunia Primary School,89.464027,22.570657
n3313524400,"3313524400",node,school,Batbunia Secondary School,89.463207,22.570646
n3313853334,"3313853334",node,school,Amin Academy,90.366084,23.723652
n3314001916,"3314001916",node,school,Baytul Ulum Madrasa,90.365017,23.710716
n3314038152,"3314038152",node,school,Modinatol Alime Madrasha,90.375176,23.710884
n3314056180,"3314056180",node,school,All-Islam Pre-Cadet High School,90.376949,23.711339
n3314061863,"3314061863",node,school,বুড়িগঙ্গা মডেল স্কুল,90.365995,23.709879
n3314061865,"3314061865",node,school,Reyazul Ulum Madrasa,90.365679,23.710602
n3314096734,"3314096734",node,school,Shamsul Ulum Madrasa,90.366908,23.720621
n3314119693,"3314119693",node,school,Sunshine Kindergarten And High School,90.369025,23.720745
n3314120580,"3314120580",node,school,Iqaamatul Quran Model Madrasah,90.368697,23.720364
n3314138324,"3314138324",node,school,Madrasah Mohammadia Qurania,90.361822,23.722822
n3314138325,"3314138325",node,school,Munshi Bari Madrasah,90.360840,23.723336
n3314138940,"3314138940",node,school,Hayat Maddhomik School,90.379749,23.712088
n3314139188,"3314139188",node,school,Hazrat Osman Goni Madrasah,90.370867,23.721880
n3314140365,"3314140365",node,school,Bright Future Life Kindergarten,90.371845,23.713871
n3314143731,"3314143731",node,school,KM Laboratory High School,90.360811,23.726203
n3314143732,"3314143732",node,school,Toru Ideal School,90.360709,23.725983
n3314144477,"3314144477",node,school,Darul Ulum Mohila Madrashsa,90.379434,23.712496
n3314147056,"3314147056",node,school,Azizia Islamia Madrasah,90.377925,23.713705
n3314151663,"3314151663",node,school,Madrasa Ubai Ibne Rab,90.371931,23.714061
