x,y,full_id,osm_id,osm_type,amenity,name,name:am,contact:phone,contact:p.o.box,addr:city,addr:subcity,contact:email,is_in:city,contact:pobox,source:am,addr:kebele,contact:mobile,name:en,addr:postcode,phone,barrier,foot,motorcar,shop,source_ref,bicycle,access,website,operator,addr:street,opening_hours,name:zh,email,branch,description,addr:housenumber,tourism,level,mapillary,name:de
38.7580103,9.0391284,n878746538,878746538,node,school,Nazareth School,ናዝሬት ትምህርት ቤት አ/አ,+251 (0) 11 111 26 25,,,Arada,,,,,11/12,,,,,,,,,,,,,,,,,,,,,,,,
38.7149068,9.0246862,n1690616971,1690616971,node,school,Meserete Ediget Primary School,መሰረተ ዕድገት አንደኛ ደረጃ ት/ቤት,"+251 (0) 11 279 23 32, +251 (0) 11 280 07 42, +251 (0) 11 280 07 43",180064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7323618,8.9700659,n1726630090,1726630090,node,school,Mekane-Yesus Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8097444,8.9972432,n1942829869,1942829869,node,school,Lem Secondary School,ለም ሁለተኛ ደረጃ ትምህርት ቤት,,,,,,,,,,,,62245,+251 11 (?) 29 40 92/+251 11 (?) 29 47 85/+251 11 (?) 29 41 49/+251 11 (?) 29 44 72,,,,,,,,,,,,,,,,,,,,
38.8093027,8.9969899,n1942829927,1942829927,node,,,,,,,,,,,,,,,,,gate,yes,yes,,,,,,,,,,,,,,,,,
38.6762524,9.0032727,n2047810554,2047810554,node,school,Ewket Fana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.6732081,9.0052623,n2047811208,2047811208,node,school,አልፋ ትምህርት ቤት,,,,,,,,,,,,Alfa,,,,,,,,,,,,,,,,,,,,,,
38.7586212,8.9632707,n2318240815,2318240815,node,school,Sene 9 public school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8156451,9.0042129,n3161050428,3161050428,node,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8145293,9.003895,n3161050429,3161050429,node,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7549493,8.9458431,n3207324261,3207324261,node,,,,,,,,,,,,,,,,,,,,bakery,http://pics.map.et/2014-11-27-105511/pic00092.jpg,,,,,,,,,,,,,,,
38.7548075,8.9459468,n3207324262,3207324262,node,,,,,,,,,,,,,,,,,gate,yes,,,,yes,,,,,,,,,,,,,,
38.7546903,8.9460325,n3207324263,3207324263,node,,,,,,,,,,,,,,,,,,,,kiosk,http://pics.map.et/2014-11-27-105511/pic00079.jpg,,,,,,,,,,,,,,,
38.754375,8.9462685,n3207324264,3207324264,node,,,,,,,,,,,,,,,,,gate,yes,,,,yes,customers,,,,,,,,,,,,,
38.7295178,8.9822525,n4123949893,4123949893,node,school,Mekanisa Deaf School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.807152,9.0019492,n4183155489,4183155489,node,school,ኢትዮ ፓረንትስ ት/ቤት,ኢትዮ ፓረንትስ ት/ቤት,,,,,,,,,,,Ethio Parents School,,,,,,,,,,ethioparentsschool.com,,,,,,,,,,,,
38.6946846,9.062568,n4241283064,4241283064,node,school,FetAwerari HabeteGiorgis,,,,,,,,,,,,,,,,,,,,,,,Governmental,,,,,,,,,,,
38.7270177,8.9937728,n4258312020,4258312020,node,school,Higher 23 Preparatory School,,,,,,,,,,,,,,,,,,,,,,,,South Africa Street,,,,,,,,,,
38.725883,8.995324,n4258312021,4258312021,node,school,Mekdela Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7303874,9.0130449,n4295718961,4295718961,node,school,EiABC (Ethiopian Institute of Architecture Building Construction & City Devlopment),,,,,,,,,,,,,,,,,,,,,,www.eiabc.edu.et,,Chad Street,Mo-Su 06:00-00:00,,,,,,,,,
38.8010249,9.0036995,n4319747695,4319747695,node,school,KB International Driving License School,,,,,,,,,,,,,,,,,,,,,,,,Ring Road,,KB 国际驾校,,,,,,,,
38.8486977,8.9872579,n4319799191,4319799191,node,school,SHIBU EJERSA ELEMENTARY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7493018,9.0309183,n4336825891,4336825891,node,school,Lideta Catholic Cathedral School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7122445,8.9519603,n4452902989,4452902989,node,school,Hope University College,Hope University College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7480096,8.9820944,n4489873694,4489873694,node,school,Addis Ababa science and technology university,,,,,,,,,,,,,,929096501,,,,,,,,,,,,,jerimicool123@gmail.com,,,,,,,
38.8520788,9.0413218,n4533219092,4533219092,node,school,,,,,,,,,,,,,Esayam school,,,,,,,,,,,,,,,,,,,,,,
38.8324742,9.0364016,n4533238789,4533238789,node,school,,,,,,,,,,,,,Dejazmach Wondirad Preparatory School,,251116456197,,,,,,,,,,,,,,,,,,,,
38.8310608,9.0233202,n4537564093,4537564093,node,school,,,,,,,,,,,,,ECSU,,,,,,,,,,,,,,,,,,,,,,
38.8317519,9.033769,n4538964190,4538964190,node,school,,,,,,,,,,,,,Dej. Wondirad Preparatory School,,,,,,,,,,,,,,,,,,,,,,
38.7631737,9.0366767,n4550963287,4550963287,node,school,Menelik Primary School,,,,Addis Ababa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7627994,9.0394757,n4550981233,4550981233,node,school,Radical School,,,,Addis Ababa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.769108,9.0325674,n4551006108,4551006108,node,school,Save Heaven,,,,Addis Ababa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7346255,8.9461257,n4553503690,4553503690,node,school,ኩዊንስ ኮሌጅ,ኩዊንስ ኮሌጅ,,,,,,,,,,,Queens College,,,,,,,,,,,,,,,,,,,,,,
38.7283592,8.973406,n4568013790,4568013790,node,school,,,,,,,,,,,,,Gybson youth academy,,,,,,,,,,,,,,,,,,,,,,
38.7624296,9.0300681,n4579174717,4579174717,node,school,,,,,,,,,,,,,HiLCoE - school of computer science and technology,,,,,,,,,,,,,,,,,,,,,,
38.743184,8.9469448,n4583693891,4583693891,node,school,,,,,,,,,,,,,Southwest Academy,,,,,,,,,,,,,,,,,,,,,,
38.7494272,8.943757,n4583697989,4583697989,node,school,ጊብሰን ዩዝ አካዳሚ,ጊብሰን ዩዝ አካዳሚ,,,,,,,,,,,Gibson Youth Academy,,,,,,,,,,,,,,,,,,,,,,
38.8006938,9.0184222,n4608975089,4608975089,node,school,Adams Universitiy megenagna campus,,,,,,,,,,,,Adams Universitiy megenagna campus,,,,,,,,,,,,,,Adams 大学 megenagna 校区,,,,,,,,
38.761569,9.0302722,n4659235092,4659235092,node,school,ዳኑ,,,,,,,,,,,,Danu Hospital,,,,,,,,,,,,,,,,,,,,,,
38.7594304,9.0502401,n4666712690,4666712690,node,school,Yekatit 12 preparatory,,,,,,,,,,,,የካቲት 12 መሰናዶ,,,,,,,,,,,,,,,,,,,,,,
38.7722028,8.9931122,n4730055292,4730055292,node,school,,,,,,,,,,,,,Dandii Boru school,,,,,,,,,,,,,,,,,,,,,,
38.8093163,9.0195429,n4732473923,4732473923,node,school,,,,,,,,,,,,,Bole TVT Institute,,,,,,,,,,,,,,,,,,,,,,
38.7848934,9.0245153,n4735480826,4735480826,node,school,,,,,,,,,,,,,Misraq Technical and Vocational College,,,,,,,,,,,,,,Misraq 技术职业学院,,,,,,,,
38.8069266,9.0191736,n4739170226,4739170226,node,school,,,,,,,,,,,,,Rift Valley University Abichu Campus,,,,,,,,,,,,,,,,,,,,,,
38.7590523,9.0356922,n4739178121,4739178121,node,school,,,,,,,,,,,,,Dagmawi Minilik School,,,,,,,,,,,,,,,,,,,,,,
38.7514204,9.0387551,n4748799527,4748799527,node,school,New Era Public Shool,,,,,,,,,,,,New Era Public Shool,,,,,,,,,,,Government,,,,,,,,,,,
38.7820551,8.9903988,n4749254621,4749254621,node,school,ገበያ ኮምፒዩተር ትሬኒንግ,ሲናን ኮሜርሺያል ሴንተር,,,,,,,,,,,Gebeya Computer Training,,,,,,,,,,,,,,,,,,,,,,
38.7140715,9.0357182,n4773226832,4773226832,node,school,,,,,,,,,,,,,Ewuket Wogene primary school,,,,,,,,,,,,,,,,,,,,,,
38.7110375,9.0405968,n4773227436,4773227436,node,school,,,,,,,,,,,,,Millinium primary & secondary school,,,,,,,,,,,,,,,,,,,,,,
38.7242317,8.93642,n4871715723,4871715723,node,school,Hidase primary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7287904,8.9970399,n4871718821,4871718821,node,school,ICS Addis,,,,,,,,,,,,ICSAddis,70282,,,,,,,,,,,South Africa Street,,,,,,S021,,,,
38.740348,8.9908215,n4871719421,4871719421,node,school,School of Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7972834,9.0156763,n4892428044,4892428044,node,school,NATI School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8330489,9.0232567,n4902325922,4902325922,node,school,Civil Service University ስቪል ሰርቪስ ዩኒቨርሲቲ,Civil Service University ስቪል ሰርቪስ ዩኒቨርሲቲ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8501085,9.0098495,n4949222724,4949222724,node,school,,,,,,,,,,,,,Young Roots International School,,,,,,,,,,,,,,,,,,,,,,
38.7311577,9.0228627,n4954579027,4954579027,node,school,ኦሜድላ ትምህርት ቤት,ኦሜድላ ትምህርት ቤት,,,,,,,,,,,omedla school,,,,,,,,,,,,,,,,,,,,,,
38.7836801,9.0147904,n4954590999,4954590999,node,school,,,,,Addis Ababa,,,,,,,,Texas School of English and Computer,,,,,,,,,,,,Haile Gebresellasie Avenue,,,,,,,,,,
38.788804,9.0247014,n4958689621,4958689621,node,school,,,,,,,,,,,,,Addis college,,,,,,,,,,,,,,,,,,,,,,
38.7263693,9.0495757,n4958910126,4958910126,node,school,,,,,,,,,,,,,School of tomorrow (SOT) KG,,,,,,,,,,,,,,,,,,,,,,
38.8216605,9.0186335,n4967928751,4967928751,node,school,,,,,Addis Ababa,,,,,,,,Atronus School of Computer,,251116477078,,,,,,,,,,,,,,,,,,,,
38.787499,9.0206365,n4984649021,4984649021,node,school,Universal university college,,,,,,,,,,,,,,,,,,,,,,,,Togo Street,,,,,,,,,,
38.8396068,9.021231,n4989336903,4989336903,node,school,,,,,Addis Ababa,,,,,,,,,,251911602028,,,,,,,,,,,,,,,,,,,,
38.8362907,9.0218529,n4992893527,4992893527,node,school,ጊብሰን የትምህርት ስርዓቶች,,,,,,,,,,,,Gibson School Systems,,2516628312,,,,,,,,,,YK_13_0605 St.,,,,,,,,,,
38.6810254,8.9983222,n5035241122,5035241122,node,school,,,,,,,,,,,,,Jemmo primary school,,,,,,,,,,,,,,,,,,,,,,
38.7222608,8.9895009,n5035241222,5035241222,node,school,,,,,,,,,,,,,New English Private School (NEPS),,,,,,,,,,,,,,,,,,,,,,
38.6949427,9.0681686,n5058229721,5058229721,node,school,,,,,,,,,,,,,Asko Home,,,,,,,,,,,,,,,,,,,,,,
38.8128588,9.0056391,n5134420721,5134420721,node,school,,,,,,,,,,,,,vision acadamy,,,,,,,,,,,,,,,,,,,,,,
38.6948743,9.0683692,n5137009621,5137009621,node,school,,,,,,,,,,,,,Asko Home,,,,,,,,,,,,,,,,,,,,,,
38.7493564,8.9432831,n5139508423,5139508423,node,school,Gibson lafto branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7113127,9.0479376,n5139523221,5139523221,node,school,Gibson kolfe branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7539943,8.9782073,n5140786232,5140786232,node,school,ፊታውራሪ ላቀ እድገህ ት/ቤት,ፊታውራሪ ላቀ እድገህ ት/ቤት,,,,,,,,,,,Fitawirari Lakedgh,,,,,,,,,,,,,,,,,,,,,,
38.7498664,8.9786509,n5140786233,5140786233,node,school,ነፃነት ጮራ ት/ቤት,ነፃነት ጮራ ት/ቤት,,,,,,,,,,,Netsanet Chora,,,,,,,,,,,,,,,,,,,,,,
38.694769,8.9836086,n5140786323,5140786323,node,school,አየር ጤና ከ2ተኛ ደረጃ,አየር ጤና ከ2ተኛ ደረጃ,,,,,,,,,,,Ayer Tena SSS,,,,,,,,,,,,,,,,,,,,,,
38.7069911,8.9773067,n5140793922,5140793922,node,school,አብነ ባስልዮስ የመጀመሪያ ደረጃ ት/ቤት,አብነ ባስልዮስ የመጀመሪያ ደረጃ ት/ቤት,,,,,,,,,,,Abune Basilouse primary School,,,,,,,,,,,,,,,,,,,,,,
38.7483674,9.0282137,n5174375724,5174375724,node,school,Abader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7111301,9.0406247,n5181887222,5181887222,node,school,millinneyem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.739398,8.9858156,n5185944824,5185944824,node,school,አባድር ት/ቤት,አባድር ት/ቤት,,,,,,,,,,,Abadir School,,,,,,,,,,,,,,,,,,,,,,
38.7853767,8.9887144,n5197536422,5197536422,node,school,ጊብሰን,ጊብሰን,,,,,,,,,,,Gibson Youth Academy,,,,,,,,,,,,,,,,,,,,,,
38.8047334,8.8685346,n5197538821,5197538821,node,school,ስኩል ኦፍ ኢንዲያና,ስኩል ኦፍ ኢንዲያና,,,,,,,,,,,School Of Indiana,,,,,,,,,,,,,,,,,,,,,,
38.7284506,8.9732606,n5207596922,5207596922,node,school,,,,,,,,,,,,,Gibson Youth Academy,,,,,,,,,,,,,,,,,,,,,,
38.7192772,8.9985304,n5225075021,5225075021,node,school,,,,,,,,,,,,,Omega primary and secondary school,,,,,,,,,,,,,,,,,,,,,,
38.8106843,9.0044027,n5238948723,5238948723,node,school,,,,,,,,,,,,,vision acadamy,,,,,,,,,,,,,,,,,,,,,,
38.7468445,9.0078374,n5241071921,5241071921,node,school,Alpha music school,Alpha music school,,,,,,,,,,,Alpha music school,,251911612727,,,,,,,,,Samuel legesse teka,,24/7,,legesse.samuel25@gmail.com,,,,,,,
38.729008,9.0129509,n5247312700,5247312700,node,school,EiABC (Ethiopian Institute of Architecture Building Construction & City Devlopment),,,,,,,,,,,,,,,,,,,,,,www.eiabc.edu.et,,Chad Street,Mo-Su 06:00-00:00,,,,,,,,,
38.8105916,8.8835937,n5277016921,5277016921,node,school,አዲስ አበባ ሣይንስና ቴክኖሎጂ ዩንቨርስቲ,አዲስ አበባ ሣይንስና ቴክኖሎጂ ዩንቨርስቲ,,,,,,,,,,,AASTU University,,,,,,,,,,,,,,,,,,,,,,
38.7754835,8.9790046,n5300580021,5300580021,node,school,ቦሌ ቃለ-ሕይወት ትምህርት-ቤት,ቦሌ ቃለ-ሕይወት ትምህርት-ቤት,,,,,,,,,,,Bole Kale-Hiwot School,,,,,,,,,,,,,,,,,,,,,,
38.6727646,9.036751,n5306507321,5306507321,node,school,ሂልቶፕስ የእውቀት መንደር Hiltops Knowledge Village,,,,,,,,,,,,,,251113203832,,,,,,,,http://www.hilltops10.com,Mustefa,,,,hilltopsacademy@yahoo.com,,,,,,,
38.7904392,9.0231543,n5428840324,5428840324,node,school,Magic Carpet School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7495798,9.0132546,n5428840326,5428840326,node,school,"Addis Ababa University, School of commerce",አዲስ አበባ ዩንቨርሲቲ የንግድ ስራ ትምህርት ቤት,,,"Legahar, Addis Ababa",,,,,,,,,3131,,,,,,,,,https://www.aau.edu.et,,Ras Abebe Aregay Street,,,,,,,,,,
38.7711417,9.0188727,n5428870328,5428870328,node,school,,,,,,,,,,,,,yelbe fana elementary school,,,,,,,,,,,,,,,,,,,,,,
38.792973,9.0174408,n5428870523,5428870523,node,school,,,,,,,,,,,,,Abiyot elementary School,,,,,,,,,,,,,,,,,,,,,,
38.8072098,9.0148331,n5428870822,5428870822,node,school,,,,,,,,,,,,,lincon university college,,,,,,,,,,,,,,,,,,,,,,
38.8270295,8.9948715,n5433513921,5433513921,node,school,,,,,,,,,,,,,Goro primary school,,,,,,,,,,,,jacros to meskid,,,,,,,,,,
38.7559828,9.0320045,n5475560327,5475560327,node,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7564572,9.0294515,n5475584825,5475584825,node,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8119361,8.8870691,n5524359323,5524359323,node,school,,,,,,,,,,,,,Addis Ababa Science and Technology University,,,,,,,,,,,,,,,,,,,,,,
38.7603433,8.9580617,n5546926621,5546926621,node,school,,,,,,,,,,,,,Red Cross Society Traning Center,,,,,,,,,,,,,,,,,,,,,,
38.7283393,9.0237546,n5548117121,5548117121,node,school,ገሊላ የመጀመሪያ ደረጃ ትምህርት ቤት,,,,,,,,,,,,Gelila Primary School,,,,,,,,,,,,,,,,,,,,,,
38.729482,9.0233864,n5548117221,5548117221,node,school,መተባበር የመጀመሪያ ደረጃ ትምህርት ቤት,,,,,,,,,,,,Metebaber Primary School,,,,,,,,,,,,,,,,,,,,,,
38.7733091,8.8937852,n5614151745,5614151745,node,school,ኢትዮ ብሔራዊ ትምህርት ቤት,,,,,,,,,,,,Ethio National School,,,,,,,,,,,,,,,,,,,,,,
38.742371,9.0577399,n5763570555,5763570555,node,school,St Marry Shool | ቅድሰተ ማርያም ት/ቤት,ቅድሰተ ማርያም ት/ቤት,,,,,,,,,,,St. Marry Shool,,,,,,,,,,,,,,,,,,,,,,
38.751819,9.0133015,n5804154454,5804154454,node,school,ዕድገት በህብረት የመጀመሪያ ደረጃ ት/ቤት,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7611271,8.9776558,n5839883286,5839883286,node,school,B.T.D. Educational Acadamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7299417,9.0200044,n5871447685,5871447685,node,school,New Bright Academy,ኒው ብራይት አካዳሚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7720186,9.0210453,n5907096985,5907096985,node,school,ፍሊፐር አለምአቀፍ ትምህርት ቤት,,,,,,,,,,,,Flipper International School,,,,,,,,,,http://www.flipperschool.com,,D.A.R. Sahara Street,Mo-Fr 08:00-15:30,,,,,,,,,
38.7569485,9.0781869,n5948196686,5948196686,node,school,ቁሥቋም ጣይቱ ቡጡል የመጅመሪያ ደ/ትቤት,,,,,,,,,,,,Qusqwam Tytu Butul elementary school,,,,,,,,,,,,,,,,,,,viewpoint,,,
38.7427643,9.0048995,n5969155286,5969155286,node,school,National colleges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7351942,9.0204841,n5980731295,5980731295,node,school,ካራማራ የመጀመርያ ደረጃ የህዝብ ትምህርት ቤት,,,,,,,,,,,,Karamara Primary Public School,,,,,,,,,,,,Bekele Weya Street,,,,,,,,,,
38.7325198,9.0136265,n5980748186,5980748186,node,school,ደጃ.ባልቻ አባነፍሶ አጠቃላይ ሁለተኛ እና መሰናዶ ትምህርት ቤት,,,,,,,,,,,,Dej. Balcha Abanefso Comprehensive Secondary And Preparatory School,,,,,,,,,,,,Bekele Weya Street,,,,,,,,,,
38.74978,9.0571622,n6024265785,6024265785,node,school,ቀጨኔ ደብረ ሰላም ት/ት,,,,,,,,,,,,kechene debre selam,,,,,,,,,,,,,,,,,,,,,,
38.7788489,9.0288591,n6055245990,6055245990,node,school,አቡነ ጎርጎርዮስ ት/ቤት Abune Gorgorios School,,,,,,,,,,,,,,251118501611,,,,,,,,,,Aware,,,,,,,,,,
38.7618106,8.9542942,n6105824590,6105824590,node,school,,,,,,,,,,,,,Engineering Solution Training Center,,,,,,,,,,,,,,,,,,,,,,
38.7145303,9.024568,n6208390285,6208390285,node,school,መሠረተ ዕድገት ት/ቤት,,,,,,,,,,,,Meserete edget school,,,,,,,,,,,,,,,,,,,,,,
38.7317395,8.949908,n6342500586,6342500586,node,school,ንዋይ ቻሌንጅ አካዳሚ,,,,,,,,,,,,Neway Challenge Academy,,,,,,,,,,,,,Mo-Fr 07:30-17:30; Sa 08:30-12:30,,,,,,,,,
38.7128255,8.9582887,n6358476585,6358476585,node,school,ማርክ  ት/ቤት,,,,,,,,,,,,Mark youth Academy,,,,,,,,,,,,,,,,,,,,,,
38.7598078,9.0597972,n6372299587,6372299587,node,school,,,,,,,,,,,,,Shero Meda Technical School,,,,,,,,,,,,,,,,,,,,,,
38.7184114,9.0137574,n6387612185,6387612185,node,school,Unity school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7253339,8.9503168,n6435917086,6435917086,node,school,,,,,,,,,,,,,Sanford School,,,,,,,,,,,,,,,,,,,,,,
38.7608231,9.0641493,n6463584091,6463584091,node,school,,,,,,,,,,,,,Entoto amba,,,,,,,,,,,,,,,,,,,,,,
38.741675,9.0570634,n6463584187,6463584187,node,school,ድል በር ሁለተኛ ደርጃ ት/ቤት,,,,,,,,,,,,Del Ber high school,,,,,,,,,,,,,,,,,,,,,,
38.860615,8.9891946,n6471705396,6471705396,node,school,Bole Ethio China Friendship primary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8581018,8.9931749,n6471705787,6471705787,node,school,Andode Secondary school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7404582,8.9511263,n6472485986,6472485986,node,school,ሳውዝ ዌስት አካዳሚ,,,,,,,,,,,,SouthWest Academy,,,,,,,,,,,,,Mo-Sa 19:00-18:00,,,,,,,,,
38.8619542,8.9864196,n6474433089,6474433089,node,school,,,,,,,,,,,,,Safari Academy,,,,,,,,,,,,,,,,,,,,,,
38.8611513,8.9854954,n6474433486,6474433486,node,school,KOIKA,LG KOIKA - Hope TVET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7781416,9.0190305,n6611752679,6611752679,node,,,,,,,,,,,,,,,,,gate,,,,,,,,,,,,,,,,,,,
38.7005405,9.0047912,n6621822986,6621822986,node,school,,,,,,,,,,,,,Beteseb Academy,,,,,,,,,,,,,,,,,,,,,,
38.8096095,8.8890416,n6634125188,6634125188,node,school,,,,,,,,,,,,,Aastu registeral,,,,,,,,,,,,,,,,,,,,,,
38.8097793,8.8849384,n6634126285,6634126285,node,school,,,,,,,,,,,,,Aastu registerar,,,,,,,,,,,,,,,,,,,,,,
38.8872945,8.9802947,n6634778586,6634778586,node,school,ቦሌ አራርሳ ት/ቤት,,,,,,,,,,,,Bole Arabsa scgool,,,,,,,,,,,,,,,,,,,,,,
38.7865126,9.0213336,n6652618033,6652618033,node,school,Evo Fashion Design Academy,,,,,,,,,,,,,,"+251118628823,+251991162116",,,,,,,,,Evo,,,,,,,,,2,qdtNd6_fSMRV5eDn1HTqsA,
38.7379869,9.0219873,n6673631988,6673631988,node,school,Geja Kale Hiwot Elementary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.8489283,9.0103019,n6698676488,6698676488,node,school,,,,,,,,,,,,,Dibora School,,,,,,,,,,,,,,,,,,,,,,
38.8492569,9.0100863,n6698676489,6698676489,node,school,,,,,,,,,,,,,Vision School,,,,,,,,,,,,,,,,,,,,,,
38.7291045,8.9930617,n6712129287,6712129287,node,school,School of Tomorrow - Bisrat Branch,,,,,,,,,,,,School of Tomorrow  (Bisrat Branch),,,,,,,,,,,,,,,,,,,,,,
38.6896782,8.9583864,n6715628888,6715628888,node,school,Stairway school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.6917864,8.9554058,n6716220881,6716220881,node,school,Cordova Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7735079,8.956862,n6718704353,6718704353,node,school,Tipfay Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.775518,8.8970007,n6750142690,6750142690,node,school,,,,,,,,,,,,,Seattle academy,,251923692857,,,,,,,,,plc,Total condominum,Mo-Sa 02:30-12:30,,muleayalew@yahoo.com,,,,,,,
38.7754509,8.8967815,n6755546085,6755546085,node,school,,,,,,,,,,,,,Seattle academy 9-12 branch,1000,251114347275,,,,,,,,,seattle academy members,,Mo-Sa 02:00-23:30,,seattleacademy@gmail.com,,,,,,,
38.7188385,8.9498902,n6759911733,6759911733,node,school,School of redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.7603081,9.0624369,n6837998585,6837998585,node,school,ድል በትግል የመጀመሪያ ደረጃ ት/ቤት,,,,,,,,,,,,Dil betigl elementary school,,,,,,,,,,,,,,,,,,,,,,
