@id,amenity,name,website,wikidata,wikipedia,addr_city,addr_stree,addr_house,addr_postc,operator,email,opening_ho,phone,name_en,denominati,descriptio,religion,accessibil,building_c,building_l,building_m,building_r,contact_ad,contact_em,contact_ph,education_,educatio_1,educatio_2,educatio_3,educatio_4,educatio_5,educatio_6,educatio_7,educatio_8,educatio_9,educatio10,educatio11,educatio12,educatio13,educatio14,educatio15,educatio16,educatio17,educatio18,educatio19,educatio20,educatio21,educatio22,educatio23,educatio24,educatio25,educatio26,educatio27,educatio28,educatio29,educatio30,educatio31,educatio32,educatio33,electricit,image_clas,image_comp,image_sign,operator_d,operator_t,toilet_pre,toilets_fe,toilets_ha,toilets_ma,toilets_te,water_sour,educatio34,educatio35,educatio36,educatio37,educatio38,educatio39,x,y
node/6054455494,school,Muthiga Primary School,,,,Kiambu,Gatundu-Juja Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93,-1.02
node/6063334938,school,Bridge International Academies,,,,Kiambu,Kiambu Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.65,-1.11
node/6116638611,school,Limuru Nursery and Primary School,,,,Redhill,Limuru Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.71,-1.17
node/6116638649,school,Muguku Tumaini School,,,,,Dharamshi-Raini Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.72,-1.17
node/6124942690,school,Kamirithu Polytechnic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63,-1.12
node/6138142786,school,Ngenia High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.63,-1.13
node/6200899854,school,Nova Pioneer,,,,Ruiru,Kamiti Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.90,-1.16
node/6200899877,school,Kiambu Road Primary School,,,,Ruiru,Kamiti Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.94,-1.15
node/6207571848,school,Juja Preparatory School,,,,Thika,Thika Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.00,-1.12
node/6207691325,school,Compuera Girls School,,,,Thika,Thika Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05,-1.06
node/6207691341,school,Braeburn Imani International School,,,,Thika,Thika-Mang'u Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.03,-1.04
node/6209964959,school,Gatuma - Ini Primary & E. C. D Centre,,,,Thika,Workshop Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.07,-1.04
node/6210018131,school,"Thika Technical Training Institute, Plumbing",,,,Thika,General Kago Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.08,-1.04
node/6210240732,school,Mount kenya university thika,,,,Thika,Garissa Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.14,-1.06
node/6210240735,school,International Centre of Technology,,,,Thika,Garissa Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.16,-1.06
node/6210240737,school,Gatuanyaga Primary School,,,,Thika,Garissa Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.18,-1.06
node/6210240742,school,Salvation Army High School For The Blind,,,,Thika,Workshop Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.07,-1.03
node/6249723267,school,Sukari Presbyterian Senior School,,,,Nairobi,5th North Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.94,-1.19
node/6251534664,school,Victorian Girls High School,,,,Ruiru,Eastern Bypass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.96,-1.17
node/6251561028,school,St. Johns ACK Church,,,,Riara Ridge,Limuru Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.68,-1.15
node/6251561043,school,Site View Primary School,,,,Kerwa,Eldoret-Malaba Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.64,-1.18
node/6251561045,school,Westgate Shield School,,,,Kerwa,Eldoret-Malaba Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.65,-1.19
node/6257535845,school,Bridge International Academy - King'eero,,,,Nairobi,King'eero hopping Centre Main Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.71,-1.23
node/6257535857,school,St Hellen Primary School,,,,Nairobi,Getathuru Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.73,-1.22
