full_id,osm_id,osm_type,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,amenity,email,name,phone,url,addr:state,website,type,wikimapa:author,opening_hours,addr:suburb,denomination,religion,wheelchair,IPP:BAIRRO,IPP:CHAVE,IPP:CODATIVIDA,IPP:CODBAIRRO,IPP:COD_INEP,IPP:COD_SMA,IPP:CRE,IPP:DESIGNACAO,IPP:ENDNOVO,IPP:FLG_VALIDA,IPP:OBS,IPP:ENDERECO,IPP:TELEFONES,fee,operator,operator:type,building,addr:housename,historic,suburb,alt_name,start_date,school,sport,barrier,entrance,description,short_name,phone:2,level,official_name,school_type,bicycle,foot,addr:place,fax,office,display,support,visibility,bicycle_parking,capacity,covered,pt:bicycle_parking,access,natural,wikidata,wikipedia,name:en,name:pt,language,addr:unit,loc_name,education,min_age,layer,parking,internet_access,internet_access:fee,grades,survey:date,x,y
n431013517,"431013517",node,,,,,,school,,Liceu Franco-Brasileiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1797594000,-22.9317083000
n431013585,"431013585",node,Rio de Janeiro,BR,"74",22220-030,Rua Buarque de Macedo,school,,Colégio Bonfim,+55-21-22856798,http://bonfimcolegio.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1767344000,-22.9282817000
n431750145,"431750145",node,,,"38",,,school,,Autoescola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1773282000,-22.9225670000
n452654173,"452654173",node,,,,,,school,,CCAA,,,,,languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1095051000,-22.9008332000
n452654175,"452654175",node,,,,,,school,,Ibeu,,,,,languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1096281000,-22.9007199000
n452654178,"452654178",node,,,,,,school,,Instituto Brasil América,,,,,languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1101172000,-22.8997943000
n452654183,"452654183",node,,,,,,school,,Sistema Elite de Ensino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1102873000,-22.8996289000
n454457605,"454457605",node,,,"77",,Travessa Pepe,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1820516000,-22.9541385000
n494018374,"494018374",node,,,,,,school,,INSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2928562000,-22.8276629000
n495166243,"495166243",node,,,"20",,Rua Aquilino Ribeiro,school,,Creche Escola Estação do Saber,,,,,,juliane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3708414000,-22.9461140000
n495209011,"495209011",node,,,,,,school,,Escola Municipal José Clemente,,,,,,juliane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3691221000,-22.9482157000
n496464081,"496464081",node,,,,,,school,,Escola Municipal Joaquim Fontes,,,,,,juliane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3695654000,-22.9494250000
n496502551,"496502551",node,,,,,,school,,Escola Municipal Augusto Magne,,,,,,juliane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3622213000,-22.9510136000
n496503009,"496503009",node,,,,,,school,,Escola Municipal Monsenhor Cordioli,,,,,,juliane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3616463000,-22.9509346000
n496509568,"496509568",node,,,,,,school,,Sala Carolina Maria de Jesus,,,,,,,"Mo-Fr 10:00-16:00; Sa 10:00-12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3634573000,-22.9495119000
n496525695,"496525695",node,,,Quadra 29,,Rua do Cenáculo,school,,Fundação para a Infância e Adolescência,,,,,,juliane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3628393000,-22.9482473000
n496528460,"496528460",node,,,,,,school,,Futuro do Amanhã,,,,,,juliane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3637234000,-22.9480972000
n529749000,"529749000",node,Rio de Janeiro,BR,"104",,Rua República do Peru,school,,Colégio Estadual Pedro Álvares Cabral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1809487000,-22.9677783000
n529749009,"529749009",node,Rio de Janeiro,,"56",,Rua Tonelero,school,,Colégio Sagrado Coração de Maria,+55-21-25459900,http://www.scm-rj.com.br/,,,,,,Copacabana,catholic,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1822126000,-22.9644606000
n529749015,"529749015",node,,,,,,school,,Colégio Estadual Infante Dom Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1776721000,-22.9619080000
n557557639,"557557639",node,,,"414",22461-000,Rua Jardim Botânico,school,,Escola de Artes Visuais do Parque Lage,+55-21-32571800,,,http://www.eavparquelage.rj.gov.br/,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2119830000,-22.9600655000
n557558303,"557558303",node,,,,,,school,,Colégio São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1948070000,-22.9874925000
n559645252,"559645252",node,,,,,,school,,Externato Angelorium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1777570000,-22.9199737000
n567544108,"567544108",node,,,,,,school,,Centro de Estudos Guerra de Moraes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1773267000,-22.9049416000
n631344219,"631344219",node,,,,,,school,,Escola Municipal Alfredo Valladão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3133648000,-22.8099787000
n634187565,"634187565",node,,,,,,school,,Yes!,+55-21-25709088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2335147000,-22.9252768000
n634187618,"634187618",node,,,,,,school,,Instituto Tear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2376708000,-22.9211304000
n634187623,"634187623",node,,,,,,school,,Kumon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2387544000,-22.9200830000
n634187635,"634187635",node,,,,,,school,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2442691000,-22.9175433000
n634187639,"634187639",node,,,,,,school,,Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2457175000,-22.9172864000
n697075247,"697075247",node,Rio de Janeiro,BR,"15",,Rua Senador Dantas,school,,Escola de Gestão Penitenciária,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1767900000,-22.9117460000
n815523492,"815523492",node,,,,,,school,,Colégio MV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2403153000,-22.9338896000
n815566849,"815566849",node,,,,,,school,,Colégio e Curso PENSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2301608000,-22.9214789000
n816125443,"816125443",node,,,,,,school,,Escola Elza Campos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2362565000,-22.9257018000
n816125557,"816125557",node,,,,,,school,,Cultura Inglesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2417175000,-22.9310475000
n816173322,"816173322",node,,,,,,school,,Colégio e Curso Roquette Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2331988000,-22.9220555000
n816194730,"816194730",node,,,,,,school,,Escola Lobo da Cunha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2221481000,-22.9207511000
n817648581,"817648581",node,,,,,,school,,Instituto Isabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2202625000,-22.9146633000
n817648582,"817648582",node,,,,,,school,,Instituto Guanabara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2186961000,-22.9137541000
n817648583,"817648583",node,,,,,,school,,PENSI - Tijuca I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2200265000,-22.9135762000
n817648584,"817648584",node,,,,,,school,,Colégio Qi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2202840000,-22.9134478000
n819284883,"819284883",node,,,"184",,Rua Sampaio Viana,school,,Colégio Sagres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2109296000,-22.9230556000
n819293713,"819293713",node,,,,,,school,,Colégio de Aplicação da UERJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2087282000,-22.9261026000
n823939408,"823939408",node,,,,,Praça Caí,school,,Escola Municipal Ariosto Espinheira,+55-21-25903092,,,,,,,,,,,Penha,"11367","0","043","33070423","011367","04","0411007",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11367&cmd=load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2710796000,-22.8341004000
n823939415,"823939415",node,,,,,Rua Professor Waldemar Raythe,school,,Escola Municipal Gilberto Amado,+55-21-31070780,,,,,,,,,,,Guadalupe,"11396","0","106","33087083","011396","06","0622023",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11396&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3733030000,-22.8350405000
n823939435,"823939435",node,,,,,Avenida Gilberto Amado,school,,Escola Municipal Rodrigues Alves,+55-21-24930066,,,,,,,,,,,Barra Da Tijuca,"11707","0","128","33087938","011707","07","0724004",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11707&cmd=load,S,Segundo a diretora adjunta localização da UE esta correta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3027434000,-23.0125387000
n823939439,"823939439",node,,,"1000",,Rua Doutor José Thomaz,school,,Escola Municipal Escultor Leão Velloso,+55-21-38474009,,,,,,,,,,,Pavuna,"11422","0","114","33087032","011422","06","0625019",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11422&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3609953000,-22.8161827000
n823939446,"823939446",node,,,"1353",,Estrada do Guandu Do Senna,school,,Escola Municipal Guilherme da Silveira,+55-21-24054911,,,,,,,,,,,Bangu,"11058","0","141","33080500","011058","08","0817058",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11058&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.4835671000,-22.8530595000
n823939448,"823939448",node,Rio de Janeiro,,"23",,Praça das Esmeraldas,school,,Escola Municipal Embaixador João Neves da Fontoura,+55-21-33610132,,,,,,,Rocha Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3512878000,-22.8456884000
n823939452,"823939452",node,,,,,Rua Banistéria,school,,Escola Municipal Antônio Maceo,+55-21-24552819,,,,,,,,,,,Parque Anchieta,"11375","0","108","33086893","011375","06","0622002",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11375&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.4084088000,-22.8372417000
n823939454,"823939454",node,,,,,Praça Viradouro,school,,Escola Municipal Evaristo de Moraes,+55-21-24042703,,,,,,,,,,,Senador Camará,"11043","0","142","33080437","011043","08","0817043",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11043&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.5043736000,-22.8824793000
n823939459,"823939459",node,,,"516",,Rua Osman Lins,school,,Escola Municipal Madre Benedita,+55-21-24502008,,,,,,,,,,,Deodoro,"11941","0","134","33087172","011941","08","0833001",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11941&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3832897000,-22.8497569000
n823939475,"823939475",node,Rio de Janeiro,BR,,,Praça Coronel João Zani,school,,Escola Municipal José Alpoim,+55-21-24738544,,,,,,,Colégio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3316575000,-22.8434873000
n823939523,"823939523",node,,,,,Rua Mapurari,school,,Escola Municipal Augusto Frederico Schmidt,+55-21-25955850,,,,,,,,,,,Engenho De Dentro,"11821","0","066","33072540","011821","03","0313037",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11821&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2977298000,-22.9099205000
n823939539,"823939539",node,,,"231",,Rua Adolfo Bergamini,school,,Escola Municipal Jardim de Infância Maurício Cardoso,+55-21-22699976,,,,,,,,,,,Engenho De Dentro,"11819","0","066","33073015","011819","03","0313039",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11819&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2960174000,-22.9006644000
n823939558,"823939558",node,,,,,Rua Porto Firme,school,,Escola Municipal Marechal Pedro Cavalcanti,+55-21-34265815,,,,,,,,,,,Paciência,"11195","0","148","33084831","011195","10","1019031",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11195&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.6329336000,-22.9248659000
n823939561,"823939561",node,,,"50",,Avenida Almirante Frontin,school,,Escola Municipal Tenente General Napion,+55-21-22605315,,,,,,,,,,,Maré,"11587","0","157","33069441","011587","04","0430005",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11587&cmd=load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2466787000,-22.8468901000
n823939563,"823939563",node,Rio de Janeiro,BR,,,Praça José Benevides,school,,Escola Municipal Engenheiro Roberto Magno de Carvalho,+55-21-22692995,,,,,,,,,,,Pilares,"11804","0","071","33072701","011804","03","0313054",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11804&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2930306000,-22.8847099000
n823939657,"823939657",node,,,,,Rua Sudão,school,,Escola Municipal Joaquim Edson de Camargo,+55-21-24053363,,,,,,,,,,,Bangu,"11061","0","141","33080607","011061","08","0817061",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11061&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.4932946000,-22.8608976000
n823939658,"823939658",node,,,"167",,Rua Gipóia,school,,Escola Municipal Dunshee de Abranches,+55-21-33965005,,,,,,,,,,,Bancários,"11320","0","097","33086052","011320","04","0420005",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11320&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.1828133000,-22.7903873000
n823939666,"823939666",node,Rio de Janeiro,BR,"725",,Rua Padre Manoel de Nóbrega,school,,Escola Municipal França,+55-21-25968696,,,,,,,,,,,Quintino Bocaiúva,"10983","0","079","33076138","010983","05","0515038",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10983&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3142659000,-22.8798746000
n823939674,"823939674",node,,,"378",,Rua Raul Azevedo,school,,Escola Municipal Abrahão Jabour,+55-21-24041457,,,,,,,,,,,Senador Camará,"11041","0","142","33080054","011041","08","0817041",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11041&cmd=load,S,Escola com entrada pela Rua Elias Jabour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.4927554000,-22.8794059000
n823939757,"823939757",node,,,,,Rua Taborari,school,,Escola Municipal Göethe,+55-21-24851888,,,,,,,Brás de Pina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2869112000,-22.8258152000
n823939828,"823939828",node,,,,,Rua Cândido Benício,school,,CIEP Doutor Adelino da Palma Carlos,+55-21-33923042,,,,,,,,,,,Praça Seca,"11678","0","124","33094551","011678","07","0716503",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11678&cmd=load,S,As informações estão corretas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3566728000,-22.9064006000
n823939851,"823939851",node,,,"328",,Rua Ferreira Pontes,school,,Escola Municipal Afrânio Peixoto,+55-21-22385982,,,,,,,,,,,Andaraí,"10885","0","037","33068216","010885","02","0209019",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10885&cmd=load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2549555000,-22.9268675000
n823939944,"823939944",node,,,"52",,Rua Gerson Ferreira,school,,Escola Municipal Armando de Salles Oliveira,+55-21-31059338,,,,,,,,,,,Maré,"11586","0","157","33069123","011586","04","0430006",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11586&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.2495629000,-22.8415663000
n823939954,"823939954",node,,,"649",,Rua Assis Carneiro,school,,Escola Municipal Félix Pacheco,+55-21-25955964,,,,,,,,,,,Piedade,"11811","0","069","33072736","011811","03","0313047",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11811&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3125723000,-22.8957498000
n823939959,"823939959",node,,,,,Rua Maximiano Machado,school,,Escola Municipal Churchill,+55-21-24015439,,,,,,,,,,,Magalhães Bastos,"11955","0","138","33080259","011955","08","0833014",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11955&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.4165823000,-22.8741238000
n823939969,"823939969",node,,,"100",,Rua Abílio dos Santos,school,,Escola Municipal Francisco Palheta,+55-21-33900082,,,,,,,,,,,Bento Ribeiro,"10970","0","089","33076146","010970","05","0515025",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=10970&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.3663933000,-22.8643296000
n823939971,"823939971",node,,,,,Rua Gentil de Ouro,school,,Escola Municipal Atenas,+55-21-24133809,,,,,,,,,,,Inhoaíba,"11089","0","146","33082634","011089","09","0918004",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11089&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.5925427000,-22.8970630000
n823939973,"823939973",node,,,,,Avenida Quatro,school,,Escola Municipal Professor Francisco José Antônio,,,,,,,,,,,,Santa Cruz,,"0","149",,,"10","1019073",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor= &cmd=load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.6665840000,-22.9411879000
n823939991,"823939991",node,,,,,Rua Cinquenta e Quatro,school,,Escola Municipal Luís Caetano de Oliveira,+55-21-33953046,,,,,,,,,,,Santa Cruz,"11186","0","149","33084823","011186","10","1019022",http://webapp.sme.rio.rj.gov.br/jcartela/publico/pesquisa.do?idSetor=11186&cmd=load,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.6636683000,-22.9359272000
